32 43.6215 20.3178
48 160.992 108.605
64 253.88 174.991
96 255.425 202.924
128 294.012 202.037
192 440.518 298.558
256 622.644 482.954
384 1539.75 936.919
512 1466.78 1130.24
768 2512.4 1884.11
1024 2304.61 1959.63
1536 3087.81 2426.43
2048 4314.44 3447.43
3072 6319.65 5326.71
4096 7857.81 6851.83
6144 16007.9 12417.8
8192 12495.5 11611.7
12288 19305.3 16788.1
16384 17135.3 16356.1
24576 38210.6 33671.2
32768 44116 41663.2
49152 52915.3 48828.4
65536 53687.5 46273
98304 58990.8 43576.7
131072 67826.3 61920.8
196608 67349.6 62541.5
262144 82610.3 77646.6
393216 88063.1 84658.4
524288 90217.2 83577.3
